Precinct,Reporting Status,Nimasheena Burns,Wendy Jacobs,Heidi Carter,Nida Allam,Brenda Howerton,Matt Kopac,"John Rooks, Jr.",Michael D. Page,LeVon Barnes,Nate Baker,Tara L. Fikes,Regina Mays,"Fred Foster, Jr.",James Hill,Patrick Byker
1,Final Canvass Results (official),210,191,174,152,177,100,65,69,39,64,36,39,28,19,22
2,Final Canvass Results (official),488,493,477,483,264,345,72,67,58,77,47,53,22,35,21
3,Final Canvass Results (official),434,463,470,449,202,338,20,46,81,88,46,63,14,30,26
4,Final Canvass Results (official),426,524,507,459,219,390,32,45,80,98,31,33,9,28,36
5,Final Canvass Results (official),264,242,248,246,149,154,52,59,81,33,74,85,20,25,20
6,Final Canvass Results (official),379,443,429,407,216,272,40,60,59,76,22,34,15,27,24
7,Final Canvass Results (official),375,418,418,408,229,266,30,42,63,59,44,36,13,19,29
8,Final Canvass Results (official),378,385,381,391,230,283,95,80,82,96,53,58,28,27,35
9,Final Canvass Results (official),508,546,513,456,355,403,121,119,68,86,80,53,16,37,75
10,Final Canvass Results (official),188,163,155,160,175,88,71,96,86,65,59,80,26,25,12
12,Final Canvass Results (official),88,19,24,28,98,9,77,51,19,12,15,15,16,10,6
13,Final Canvass Results (official),63,35,22,23,82,13,66,54,26,15,30,32,21,11,5
14,Final Canvass Results (official),202,93,76,81,206,44,185,106,58,38,54,63,42,22,14
15,Final Canvass Results (official),197,101,90,106,181,42,112,69,45,25,30,37,24,19,28
16,Final Canvass Results (official),311,309,331,301,226,211,53,76,71,46,65,69,27,33,23
17,Final Canvass Results (official),381,336,335,337,278,206,125,79,79,86,44,70,21,34,28
18,Final Canvass Results (official),213,60,53,67,236,30,185,115,40,111,33,50,18,10,18
19,Final Canvass Results (official),438,376,348,357,313,247,163,170,117,63,99,115,66,47,41
20,Final Canvass Results (official),400,429,421,425,235,275,41,75,82,75,41,48,18,26,25
21,Final Canvass Results (official),422,434,421,430,226,314,59,62,70,140,41,42,24,17,21
22,Final Canvass Results (official),522,284,240,275,429,151,337,201,122,73,83,117,96,44,47
23,Final Canvass Results (official),766,338,294,337,758,124,564,289,184,83,117,150,327,49,38
24,Final Canvass Results (official),381,449,433,356,278,280,90,178,120,102,93,121,48,62,71
25,Final Canvass Results (official),186,210,235,168,187,119,66,126,56,49,69,66,32,55,44
26,Final Canvass Results (official),83,127,126,69,84,65,32,72,23,27,33,37,19,55,27
27,Final Canvass Results (official),412,483,489,427,281,308,48,83,75,89,93,92,35,47,31
28,Final Canvass Results (official),192,221,230,146,207,128,71,160,74,76,85,71,45,92,84
29,Final Canvass Results (official),363,267,237,235,322,143,202,226,127,85,106,148,91,70,55
30-1,Final Canvass Results (official),941,579,539,789,829,347,510,300,250,159,173,192,91,92,72
30-2,Final Canvass Results (official),889,476,419,521,794,203,541,371,223,100,167,187,106,88,53
31,Final Canvass Results (official),480,351,336,350,478,160,265,201,186,130,146,183,85,87,49
32,Final Canvass Results (official),214,267,271,194,221,150,61,117,67,84,114,103,49,50,62
33,Final Canvass Results (official),697,514,543,584,605,267,315,256,317,197,324,328,89,92,58
34-1,Final Canvass Results (official),481,344,348,348,334,243,165,184,114,59,94,74,50,38,40
34-2,Final Canvass Results (official),689,288,282,339,753,132,440,331,175,117,150,146,80,68,198
35.3,Final Canvass Results (official),"1,089",913,891,900,877,649,372,350,299,265,210,156,78,100,81
36,Final Canvass Results (official),431,417,423,393,313,247,127,117,81,62,72,85,33,44,28
37,Final Canvass Results (official),653,810,757,598,501,464,144,251,143,151,132,127,53,135,150
38,Final Canvass Results (official),749,603,623,655,549,389,277,175,177,129,149,149,62,80,76
39,Final Canvass Results (official),484,597,622,476,402,389,102,208,91,96,84,65,44,70,136
40,Final Canvass Results (official),421,413,410,389,273,255,73,77,69,66,46,52,30,24,24
41,Final Canvass Results (official),263,51,28,37,294,17,249,150,38,43,106,45,40,16,12
42,Final Canvass Results (official),212,55,34,49,223,16,170,112,46,35,39,30,30,21,12
43,Final Canvass Results (official),843,"1,101","1,062",936,512,717,112,190,125,128,127,106,42,95,133
44,Final Canvass Results (official),461,462,494,342,450,264,182,246,109,128,136,136,115,92,113
45,Final Canvass Results (official),442,440,442,350,389,301,150,194,106,99,108,108,67,77,100
46,Final Canvass Results (official),409,339,327,314,258,227,157,133,64,91,87,66,49,47,25
47,Final Canvass Results (official),226,97,62,62,252,23,188,200,78,68,86,76,60,39,18
48,Final Canvass Results (official),253,235,239,209,214,154,80,96,74,63,50,57,21,35,45
50,Final Canvass Results (official),576,598,635,519,410,366,148,142,115,125,117,112,30,66,59
51,Final Canvass Results (official),820,870,913,831,601,445,158,177,198,131,168,176,39,74,67
52,Final Canvass Results (official),328,214,200,249,302,123,143,229,129,48,90,124,82,61,51
53-1,Final Canvass Results (official),424,420,429,412,281,246,140,115,92,72,95,86,38,52,31
53-2,Final Canvass Results (official),498,611,643,532,379,341,84,127,166,106,149,137,33,64,71
54,Final Canvass Results (official),660,450,465,578,583,305,274,221,528,216,165,171,96,69,36
55-11,Final Canvass Results (official),212,56,48,48,258,19,211,145,54,75,67,44,22,22,12
55-49,Final Canvass Results (official),133,39,35,58,107,12,81,67,91,23,45,83,32,17,13
ABSENTEE,,462,582,575,494,431,278,55,88,116,85,89,73,18,72,45
OS CJRC,,"3,754","3,282","3,053","3,153","2,655","1,980","1,280",954,612,884,417,380,474,272,259
OS DTN,,347,336,339,279,342,181,139,173,98,69,103,92,65,72,62
OS DUKE,,"2,204","2,351","2,394","2,336","1,356","1,243",205,283,579,401,498,532,117,204,164
OS ERL,,"2,494","1,967","1,836","2,085","2,218","1,126","1,187","1,054",585,483,534,566,376,299,239
OS ERU,,"2,962","3,330","3,331","2,893","2,116","1,843",499,518,444,473,370,390,168,253,274
OS NCCU,,"1,619",806,645,839,"1,551",397,966,969,535,280,509,305,251,165,105
OS NRL,,"3,368","3,636","3,486","2,943","2,908","2,070","1,090","1,531",770,679,603,581,708,574,512
OS SRL,,"6,044","5,382","4,995","4,914","5,136","3,186","2,353","2,003","1,711","1,265","1,013",775,664,505,517
